state,forecast_date,trump_forecast,trump_actual,biden_forecast,biden_actual,R_house_forecast,R_house_actual,D_house_forecast,D_house_actual,I_house_forecast,I_house_actual,R_senate_forecast,R_senate_actual,D_senate_forecast,D_senate_actual,I_senate_forecast,I_senate_actual
AK,2020-08-12,53.71383,52.83314327038078,44.04784,42.771952271020496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK,2020-08-13,53.63206,52.83314327038078,44.15168,42.771952271020496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK,2020-08-14,53.54601,52.83314327038078,44.23285,42.771952271020496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK,2020-08-15,53.67041,52.83314327038078,44.11718,42.771952271020496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK,2020-08-16,53.72503,52.83314327038078,44.07445,42.771952271020496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK,2020-08-17,53.68859,52.83314327038078,44.11813,42.771952271020496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK,2020-08-18,53.61161,52.83314327038078,44.18993,42.771952271020496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK,2020-08-19,53.71067,52.83314327038078,44.0895,42.771952271020496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK,2020-08-20,53.60336,52.83314327038078,44.20137,42.771952271020496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK,2020-08-21,53.50444,52.83314327038078,44.28413,42.771952271020496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK,2020-08-22,53.44042,52.83314327038078,44.34164,42.771952271020496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK,2020-08-23,53.45402,52.83314327038078,44.31861,42.771952271020496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK,2020-08-24,53.48776,52.83314327038078,44.27967,42.771952271020496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK,2020-08-25,53.49451,52.83314327038078,44.27601,42.771952271020496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK,2020-08-26,53.68317,52.83314327038078,44.05471,42.771952271020496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK,2020-08-27,53.68104,52.83314327038078,44.06263,42.771952271020496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK,2020-08-28,53.66101,52.83314327038078,44.0653,42.771952271020496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK,2020-08-29,53.62416,52.83314327038078,44.10162,42.771952271020496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK,2020-08-30,53.68232,52.83314327038078,44.02752,42.771952271020496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK,2020-08-31,53.84216,52.83314327038078,43.89795,42.771952271020496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK,2020-09-01,53.76825,52.83314327038078,43.96368,42.771952271020496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK,2020-09-02,53.5064,52.83314327038078,44.21977,42.771952271020496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK,2020-09-03,53.52921,52.83314327038078,44.19513,42.771952271020496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK,2020-09-04,53.4358,52.83314327038078,44.28835,42.771952271020496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK,2020-09-05,53.50222,52.83314327038078,44.21942,42.771952271020496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK,2020-09-06,53.40068,52.83314327038078,44.33512,42.771952271020496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
