state,R_house_forecast,R_house_actual,D_house_forecast,D_house_actual,I_house_forecast,I_house_actual
AK,52.15197,54.40120057197061,47.84803,45.26382852207892,NA,NA
AL,77.06995166666667,78.70613278654344,44.698536,43.5055401870495,NA,NA
AR,60.13024333333333,63.11489794233083,37.63675333333333,34.6616711390771,NA,NA
AZ,47.16787,47.85545890869491,52.83212888888889,52.131765357976015,NA,NA
CA,34.64604765217391,37.77139281892462,61.77136383333333,59.29510579598548,NA,NA
CO,41.86304714285714,43.65351844656769,53.71778571428572,52.931179543154805,NA,NA
CT,37.057504,30.92257758233469,62.394078,57.67075867992574,NA,NA
DE,35.93969,40.22200831507158,60.30238,57.62836135744568,NA,NA
FL,49.086191923076925,51.447198255844256,51.6850936,49.91722947200026,NA,NA
GA,54.123492142857145,51.04171810919,45.25685285714286,48.955515663398884,NA,NA
HI,24.74414,29.429887095475053,72.57037,67.52750388290806,NA,NA
IA,47.26383,52.669792002458394,52.082745,46.32250363284797,NA,NA
ID,61.9023,65.90811717127039,32.994065000000006,30.187356712563503,NA,NA
IL,39.11411705882353,42.05364414308011,61.09749722222222,58.199013879731325,NA,NA
IN,55.369258888888886,57.93774487221731,42.76059444444444,40.08891039332672,NA,NA
KS,54.859412500000005,58.37921665323811,43.3411525,39.85879794309954,NA,NA
KY,61.28908833333333,65.31760145678678,37.776395,33.93311799737426,NA,NA
LA,31.864131999999998,32.567823802734985,19.2914495,18.332886454363898,NA,NA
MA,33.304592,33.95746582861864,79.2901,76.52756548224369,NA,NA
MD,34.38047375,34.43885576911601,65.23774375,65.10800957769246,NA,NA
ME,40.24459,42.3959826750073,59.75541,57.59787644075878,NA,NA
MI,42.81603214285714,47.32405007537953,54.490097142857145,50.46972943852574,NA,NA
MN,45.306033750000005,46.186375709987104,51.95781625,48.53810550132401,NA,NA
MO,56.26263875,57.40478656988184,40.4132825,40.00198341609974,NA,NA
MS,65.1519325,66.8495421874316,46.46409333333334,44.20061041675787,NA,NA
MT,51.62563,56.3863549838822,48.37437,43.6136450161178,NA,NA
NC,51.75206083333333,53.50706123740453,50.13788692307693,50.03387937861244,NA,NA
ND,66.00442,68.96242386065164,29.42631,27.55077362639835,NA,NA
NE,59.898073333333336,62.933515701582465,36.81067,33.851115999760246,NA,NA
NH,44.62462,44.95815105342945,54.12874,52.60800036489518,NA,NA
NJ,36.70059333333333,39.85558956926091,62.78098166666667,58.92829317276338,NA,NA
NM,41.062236666666664,45.61109777104842,57.65788666666667,54.37418224827626,NA,NA
NV,43.960412500000004,45.35270660253535,52.337705,50.473660261956304,NA,NA
NY,34.19591770833333,9.55559503279074,66.13498814814815,57.28655382622483,NA,NA
OH,52.69472375,55.67714930626532,46.19242125,43.361518534145844,NA,NA
OK,65.39687,67.41653713195093,32.915058,30.580745353352278,NA,NA
OR,40.10506,41.984780809714586,57.07221,55.58811151749954,NA,NA
PA,48.39992766666666,50.88406440496558,50.835144444444445,49.11593559503442,NA,NA
RI,35.32539,41.53887442025726,74.18904,64.53427054002364,NA,NA
SC,54.564924285714284,55.963083373125535,44.097835714285715,43.380835595272366,NA,NA
SD,82.31026,80.95501493467964,NA,NA,NA,NA
TN,62.53753875,63.561954679861415,41.77717333333333,41.72574310031159,NA,NA
TX,50.63919861111111,51.638867378995116,46.29304666666667,45.86558700054162,NA,NA
UT,56.603457500000005,61.23482752111033,36.2779,35.13250505940602,NA,NA
VA,44.93974090909091,48.118375648085994,58.096192,56.03304459636244,NA,NA
VT,27.99418,27.006766487147623,66.2746,67.30611520219144,NA,NA
WA,39.532736666666665,43.6599009271567,58.56412454545455,53.656202874971385,NA,NA
WI,49.11074375,50.64412297519129,50.477251249999995,48.97339103653314,NA,NA
WV,64.79217666666666,67.79646646531025,34.087666666666664,32.203533534689754,NA,NA
WY,68.50816,68.56311740472218,31.49183,24.576584026106342,NA,NA
