state,D_house_forecast,D_house_actual
AK,52.15197,54.40120057197061
AL,77.06995166666667,78.70613278654344
AR,60.13024333333333,63.11489794233083
AZ,47.16787,47.85545890869491
CA,34.64604765217391,37.77139281892462
CO,41.86304714285714,43.65351844656769
CT,37.057504,30.92257758233469
DE,35.93969,40.22200831507158
FL,49.086191923076925,51.447198255844256
GA,54.123492142857145,51.04171810919
HI,24.74414,29.429887095475053
IA,47.26383,52.669792002458394
ID,61.9023,65.90811717127039
IL,39.11411705882353,42.05364414308011
IN,55.369258888888886,57.93774487221731
KS,54.859412500000005,58.37921665323811
KY,61.28908833333333,65.31760145678678
LA,31.864131999999998,32.567823802734985
MA,33.304592,33.95746582861864
MD,34.38047375,34.43885576911601
ME,40.24459,42.3959826750073
MI,42.81603214285714,47.32405007537953
MN,45.306033750000005,46.186375709987104
MO,56.26263875,57.40478656988184
MS,65.1519325,66.8495421874316
MT,51.62563,56.3863549838822
NC,51.75206083333333,53.50706123740453
ND,66.00442,68.96242386065164
NE,59.898073333333336,62.933515701582465
NH,44.62462,44.95815105342945
NJ,36.70059333333333,39.85558956926091
NM,41.062236666666664,45.61109777104842
NV,43.960412500000004,45.35270660253535
NY,34.19591770833333,9.55559503279074
OH,52.69472375,55.67714930626532
OK,65.39687,67.41653713195093
OR,40.10506,41.984780809714586
PA,48.39992766666666,50.88406440496558
RI,35.32539,41.53887442025726
SC,54.564924285714284,55.963083373125535
SD,82.31026,80.95501493467964
TN,62.53753875,63.561954679861415
TX,50.63919861111111,51.638867378995116
UT,56.603457500000005,61.23482752111033
VA,44.93974090909091,48.118375648085994
VT,27.99418,27.006766487147623
WA,39.532736666666665,43.6599009271567
WI,49.11074375,50.64412297519129
WV,64.79217666666666,67.79646646531025
WY,68.50816,68.56311740472218
