cyear,year,country,ccode,abbrev,mideast,coldwar,opec_me,warsaw,civwar,us_s3un,cap,majpow,milper,def_eff,pop,rgdpc_k,rgdp,otherallies,polity2,us_indally,mid2,us_indexmilperpop1995,us_SH1995,us_indexreltradep1995,us_indexexchangerate1995,us_EH1995
21950,1950,United States,2,USA,0,1,0,0,0,1,0.2844429910182953,1,1460,0.049369972199201584,152594.15625,10702.58984375,1633152.625,31,10,1,1,2.2580997943878174,1.6290498971939087,NA,0,NA
21951,1951,United States,2,USA,0,1,0,0,0,1,0.3194989860057831,1,3249,0.09825402498245239,155605.875,11151.830078125,1735290.25,36,10,1,1,3.8185923099517822,2.4092960357666016,NA,0,NA
21952,1952,United States,2,USA,0,1,0,0,0,1,0.3113679885864258,1,3636,0.13328097760677338,158617.609375,11279.73046875,1789163.875,37,10,1,1,5.233468055725098,3.116734027862549,NA,0,NA
21953,1953,United States,2,USA,0,1,0,0,0,1,0.31115999817848206,1,3555,0.13126085698604584,160625.4375,11598.169921875,1862961.125,37,10,1,1,4.5483078956604,2.7741539478302,NA,0,NA
21954,1954,United States,2,USA,0,1,0,0,0,1,0.2809410095214844,1,3302,0.11338971555233002,163637.15625,11289.509765625,1847383.25,38,10,1,1,4.762378692626953,2.8811893463134766,NA,0,NA
21955,1955,United States,2,USA,0,1,0,0,0,1,0.26642298698425293,1,2935,0.0981641486287117,166648.875,11964.26953125,1993832,39,10,1,1,4.37167501449585,2.685837507247925,NA,0,NA
21956,1956,United States,2,USA,0,1,0,0,0,1,0.2606689929962158,1,2806,0.09627480804920197,169660.609375,11992.759765625,2034698.875,39,10,1,1,4.098052024841309,2.5490260124206543,NA,0,NA
21957,1957,United States,2,USA,0,1,0,0,0,1,0.2551490068435669,1,2796,0.09753970056772232,172672.34375,11942.16015625,2062080.75,39,10,1,1,3.8731002807617188,2.4365501403808594,NA,0,NA
21958,1958,United States,2,USA,0,1,0,0,0,1,0.23460200428962708,1,2411,0.0978425070643425,175684.0625,11598.76953125,2037719,39,10,1,1,3.709378242492676,2.354689121246338,NA,0,NA
21959,1959,United States,2,USA,0,1,0,0,0,1,0.22912000119686127,1,2328,0.0928107425570488,177691.875,12168.509765625,2162245.25,39,10,1,1,3.1670663356781006,2.08353328704834,NA,0,NA
21960,1960,United States,2,USA,0,1,0,0,0,1,0.21561199426651,1,2306,0.08694355189800262,180703.59375,12272.740234375,2217728.25,39,10,1,1,3.12782621383667,2.063913106918335,NA,0,NA
21961,1961,United States,2,USA,0,1,0,0,0,1,0.21082599461078644,1,2307,0.08865183591842651,183724.15625,12319.099609375,2263316.25,39,10,1,1,3.050039291381836,2.025019645690918,NA,0,NA
21962,1962,United States,2,USA,0,1,0,0,0,1,0.2100840061903,1,2807,0.09040529280900955,186571.65625,12895.1904296875,2405877,39,10,1,1,3.1173036098480225,2.058651924133301,NA,0,NA
21963,1963,United States,2,USA,0,1,0,0,0,1,0.20813900232315063,1,2700,0.08546736091375351,189276.15625,13309.7099609375,2519210.75,38,10,1,1,3.142749071121216,2.0713744163513184,NA,0,NA
21964,1964,United States,2,USA,0,1,0,0,0,1,0.20316000282764435,1,2687,0.07783284038305283,191923.625,13929.6796875,2673434.5,38,10,1,1,3.184852123260498,2.092426061630249,NA,0,NA
21965,1965,United States,2,USA,0,1,0,0,0,1,0.20171800255775452,1,2660,0.07248110324144363,194338.0625,14685.6298828125,2853976.75,38,10,1,1,2.944140672683716,1.972070336341858,NA,0,NA
21966,1966,United States,2,USA,0,1,0,0,0,1,0.20884700119495392,1,3090,0.0863250270485878,196595.46875,15396.8798828125,3026956.75,38,10,1,1,3.416581392288208,2.2082905769348145,NA,0,NA
21967,1967,United States,2,USA,0,1,0,0,0,1,0.2087240070104599,1,3380,0.09158357977867126,198747.859375,15533.919921875,3087333.25,40,10,1,1,3.38909912109375,2.194549560546875,NA,0,NA
21968,1968,United States,2,USA,0,1,0,0,0,1,0.20401300489902496,1,3550,0.08969704806804657,200742.21875,16140.6796875,3240115.75,40,10,1,1,3.1975603103637695,2.0987801551818848,NA,0,NA
21969,1969,United States,2,USA,0,1,0,0,0,1,0.19766899943351746,1,3460,0.08352780342102051,202713.5625,16525.25,3349892.25,41,10,1,1,3.4601187705993652,2.2300593852996826,NA,0,NA
21970,1970,United States,2,USA,0,1,0,0,0,1,0.18179699778556824,1,3070,0.07589174062013626,205089,16351.4296875,3353498.25,42,10,1,1,3.0080149173736572,2.004007339477539,NA,0,NA
21971,1971,United States,2,USA,0,1,0,0,0,1,0.17072199285030365,1,2720,0.06719508022069931,207692,16826.140625,3494654.75,42,10,1,1,2.7586469650268555,1.8793234825134277,NA,0,NA
21972,1972,United States,2,USA,0,1,0,0,0,1,0.16500699520111084,1,2323,0.06339947134256363,209924,17685.279296875,3712564.5,42,10,1,1,2.5951433181762695,1.7975716590881348,NA,0,NA
21973,1973,United States,2,USA,0,1,0,0,0,1,0.15912500023841858,1,2206,0.05724458396434784,211939,18670.310546875,3956967,42,10,1,1,2.4685540199279785,1.7342770099639893,NA,0,NA
21974,1974,United States,2,USA,0,1,0,0,0,1,0.1530189961194992,1,2146,0.05787251144647598,213898,18545.5703125,3966860.5,42,10,1,1,2.469588041305542,1.734794020652771,NA,0,NA
21975,1975,United States,2,USA,0,1,0,0,0,1,0.1441829949617386,1,2098,0.05621711164712906,215981,18041.279296875,3896573.5,43,10,1,1,2.5464582443237305,1.7732291221618652,NA,0,NA
21976,1976,United States,2,USA,0,1,0,0,0,1,0.14245200157165527,1,2075,0.0504143163561821,218086,19064.5703125,4157716,43,10,1,1,2.2922909259796143,1.6461454629898071,NA,0,NA
21977,1977,United States,2,USA,0,1,0,0,0,1,0.14181800186634064,1,2060,0.05016903579235077,220289,20001.240234375,4406053,44,10,1,1,2.2432096004486084,1.6216048002243042,NA,0,NA
21978,1978,United States,2,USA,0,1,0,0,0,1,0.1401900053024292,1,2060,0.048020683228969574,222629,21004.140625,4676131,44,10,1,1,2.06803822517395,1.534019112586975,NA,0,NA
21979,1979,United States,2,USA,0,1,0,0,0,1,0.13785000145435333,1,2033,0.0480562224984169,225106,21535.359375,4847738.5,46,10,1,1,2.011244058609009,1.5056220293045044,NA,0,NA
21980,1980,United States,2,USA,0,1,0,0,0,1,0.1342729926109314,1,2050,0.05195056274533272,227726,21335.5390625,4858657,45,10,1,1,2.109339475631714,1.554669737815857,NA,0,NA
21981,1981,United States,2,USA,0,1,0,0,0,1,0.13921000063419342,1,2101,0.05472312867641449,230008,21666.01953125,4983358,47,10,1,1,2.1285059452056885,1.5642529726028442,NA,0,NA
21982,1982,United States,2,USA,0,1,0,0,0,1,0.13082200288772583,1,2168,0.060816191136837006,232218,20758.830078125,4820574,48,10,1,1,2.0993621349334717,1.5496810674667358,NA,0,NA
21983,1983,United States,2,USA,0,1,0,0,0,1,0.13396500051021576,1,2201,0.06202112138271332,234332,21463.419921875,5029566,48,10,1,1,2.090589761734009,1.5452948808670044,NA,0,NA
21984,1984,United States,2,USA,0,1,0,0,0,1,0.13706199824810028,1,2222,0.060835592448711395,236394,23056.630859375,5450449,49,10,1,1,2.017477512359619,1.5087387561798096,NA,0,NA
21985,1985,United States,2,USA,0,1,0,0,0,1,0.13899999856948853,1,2244,0.05871952325105667,238506,23623.689453125,5634391.5,49,10,1,1,2.1053245067596436,1.5526622533798218,NA,0,NA
21986,1986,United States,2,USA,0,1,0,0,0,1,0.13690699636936188,1,2269,0.06017360836267471,240682,24172.16015625,5817804,49,10,1,1,2.086857557296753,1.5434287786483765,NA,0,NA
21987,1987,United States,2,USA,0,1,0,0,0,1,0.13576799631118774,1,2280,0.058305513113737106,242842,24831.33984375,6030092,48,10,1,1,2.064263105392456,1.532131552696228,NA,0,NA
21988,1988,United States,2,USA,0,1,0,0,0,1,0.13661900162696838,1,2250,0.05569636821746826,245061,25607.509765625,6275402,48,10,1,1,1.985264778137207,1.4926323890686035,NA,0,NA
21989,1989,United States,2,USA,0,1,0,0,0,1,0.14993299543857574,1,2240,0.05420885607600212,247387,26278.939453125,6501068,48,10,1,1,1.9700959920883179,1.4850480556488037,NA,0,NA
21990,1990,United States,2,USA,0,1,0,0,0,1,0.1409589946269989,1,2180,0.050385162234306335,249981,26457.8203125,6613952.5,49,10,1,1,1.7175393104553223,1.3587696552276611,NA,0,NA
