StartDate,EndDate,Status,IPAddress,Progress,Duration,Finished,RecordedDate,ResponseId,Q5.3_7_TEXT,Q5.4,Q5.5,Q5.6,Q5.7,Q5.8,Q5.9,Q5.10,Q5.10_89_TEXT,Q5.11,Q5.19,Q5.20,Q5.21,Q5.22,Q5.23,Q6.1,Q6.1_10_TEXT,Q6.2,Q6.3,Q6.4,Q6.5,Q6.6,Q6.7,Q6.10,Q6.11,Q6.12,Q6.13,Q6.14,Q16.1,Q16.2,Q16.3,Q16.4,pk_correct_states,pk_correct_judges,pk_correct_term,pk_correct_econ,pk_correct_vp,pk_correct_opposition,pk_correct_bolsonaro,manipulation_check,pk_correct_states2,pk_correct_judges2,pk_correct_term2,pk_correct_econ2,pk_correct_vp2,pk_correct_opposition2,pk_correct_bolsonaro2,ksr_correct_welfare,ksr_correct_edu,ksr_correct_salary,ksr_correct_pubedu,ksr_correct_pubedu_alt,ksr_correct_bolsa,ksr_correct_welfare2,ksr_correct_edu2,ksr_correct_salary2,ksr_correct_pubedu2,ksr_correct_pubedu2_alt,ksr_correct_bolsa2,pk1,pk2,pk3,pk4,pk5,pk6,pk7,ksr1,ksr2,ksr3,ksr4,ksr5,ksr4_alt,pk_ind,ksr_ind,ksr_ind_alt,ksr_what,pk_ind_scaled,ksr_ind_scaled,ksr_ind_alt_scaled,ksr_what_scaled,edu,female,ses,ses_alt,edu_3cat,gender_cat,region_cat
11/21/19 13:19,11/21/19 13:28,0,186.247.16.252,100,582,1,11/21/19 13:28,R_3NwzTEc5kxQvUyc,27,19,12,12,14,14,11,85,NA,49,6,16,15,8,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,443,3,1121,15,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,0,1,1,0,1,1,1,1,0,1,0,1,0,5,3,3,2,0.7142857142857143,0.6,0.6,0.6666666666666666,4,1,8,2,High School,female,Norte
11/21/19 13:22,11/21/19 13:31,0,177.136.40.58,100,523,1,11/21/19 13:31,R_1JWNrc21E6KPWWK,18,18,14,12,13,14,11,89,NA,50,6,19,15,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,435,3,1127,15,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,1,0,1,1,1,1,2,4,4,2,0.2857142857142857,0.8,0.8,0.6666666666666666,7,1,0,2,College or More,female,Nordeste
11/21/19 13:17,11/21/19 13:31,0,177.156.6.153,100,819,1,11/21/19 13:31,R_6zFSltlhvsfEva9,27,19,12,9,14,14,11,89,K,53,6,18,15,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,445,4,1121,15,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,1,1,1,1,1,1,6,5,5,3,0.8571428571428571,1,1,1,4,1,10,3,High School,female,Sul
11/21/19 13:21,11/21/19 13:35,0,201.80.127.134,100,844,1,11/21/19 13:35,R_3q9aZ7oscl97Vn5,27,19,12,9,14,14,11,89,K,52,6,16,15,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,437,3,1127,15,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,1,0,1,1,1,1,6,4,4,2,0.8571428571428571,0.8,0.8,0.6666666666666666,7,1,2,2,College or More,female,Sudeste
11/21/19 13:18,11/21/19 13:35,0,107.167.116.140,100,1043,1,11/21/19 13:35,R_4Ixwe3Djn7b5ywN,26,18,12,12,13,14,13,89,K,50,6,19,15,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,444,3,1121,15,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,1,0,1,0,0,1,0,1,0,1,1,1,1,3,4,4,2,0.42857142857142855,0.8,0.8,0.6666666666666666,4,1,9,2,High School,female,Nordeste
11/21/19 13:21,11/21/19 13:36,0,179.223.165.116,100,869,1,11/21/19 13:36,R_1o5vtXOIIKAn7v6,24,17,12,10,13,15,14,89,K,53,6,19,15,10,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,438,1,1121,15,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,1,1,0,1,1,3,3,2,0.14285714285714285,0.6,0.6,0.6666666666666666,4,1,3,0,High School,female,Sul
11/21/19 13:18,11/21/19 13:37,0,168.232.81.103,100,1138,1,11/21/19 13:37,R_3DpvqDdbmk3tcBb,27,18,12,9,14,14,11,89,K,49,6,18,15,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,447,1,1124,15,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,1,1,1,1,1,1,5,5,5,3,0.7142857142857143,1,1,1,5,1,12,0,College or More,female,Norte
11/21/19 13:19,11/21/19 13:37,0,143.0.252.244,100,1083,1,11/21/19 13:37,R_3qxR2UE6oq8LrnH,38,17,12,9,14,14,11,89,K,51,6,19,15,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,441,1,1118,15,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,1,0,1,1,1,1,5,4,4,2,0.7142857142857143,0.8,0.8,0.6666666666666666,2,1,6,0,Less than High School,female,Centro-Oeste
11/21/19 13:24,11/21/19 13:38,0,189.120.74.175,100,858,1,11/21/19 13:38,R_3qmL4TJ5FMcPqW8,27,19,12,9,14,14,11,89,K,53,6,NA,15,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,17,448,2,1123,15,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,FALSE,TRUE,NA,NA,FALSE,NA,NA,NA,FALSE,0,1,1,1,1,1,1,1,0,1,0,0,1,6,2,3,2,0.8571428571428571,0.4,0.6,0.6666666666666666,5,1,13,1,College or More,female,Sul
11/21/19 13:20,11/21/19 13:39,0,200.170.77.189,100,1115,1,11/21/19 13:39,R_u8t7EaznQSHkvS1,23,19,12,9,14,17,11,89,K,50,6,19,15,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449,3,1126,14,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,0,1,1,1,1,0,1,1,0,1,1,1,1,5,4,4,2,0.7142857142857143,0.8,0.8,0.6666666666666666,7,0,14,2,College or More,male,Nordeste
